base_video,from,to,prediction_from,prediction_to,result_from,result_to
yoga_11,asian,middle_eastern,yoga,cartwheel,correct,incorrect
yoga_14,asian,middle_eastern,yoga,squat,correct,incorrect
yoga_21,asian,middle_eastern,yoga,other,correct,incorrect
cartwheel_24,asian,south_east_asian,cartwheel,yoga,correct,incorrect
squat_11,asian,south_east_asian,squat,cartwheel,correct,incorrect
squat_23,asian,south_east_asian,squat,yoga,correct,incorrect
yoga_11,asian,south_east_asian,yoga,cartwheel,correct,incorrect
yoga_21,asian,south_east_asian,yoga,other,correct,incorrect
yoga_3,asian,south_east_asian,yoga,cartwheel,correct,incorrect
cartwheel_16,asian,white,cartwheel,yoga,correct,incorrect
cartwheel_5,asian,white,cartwheel,yoga,correct,incorrect
squat_11,asian,white,squat,yoga,correct,incorrect
squat_23,asian,white,squat,yoga,correct,incorrect
cartwheel_20,hispanic,african,cartwheel,yoga,correct,incorrect
cartwheel_9,hispanic,african,cartwheel,yoga,correct,incorrect
drink_7,hispanic,african,drink,other,correct,incorrect
squat_11,hispanic,african,squat,cartwheel,correct,incorrect
squat_5,hispanic,african,squat,cartwheel,correct,incorrect
yoga_18,hispanic,african,yoga,other,correct,incorrect
yoga_19,hispanic,african,yoga,cartwheel,correct,incorrect
cartwheel_4,hispanic,asian,cartwheel,yoga,correct,incorrect
cartwheel_9,hispanic,asian,cartwheel,yoga,correct,incorrect
drink_7,hispanic,asian,drink,other,correct,incorrect
lunge_15,hispanic,asian,lunge,cartwheel,correct,incorrect
squat_10,hispanic,asian,squat,yoga,correct,incorrect
squat_16,hispanic,asian,squat,cartwheel,correct,incorrect
squat_8,hispanic,asian,squat,yoga,correct,incorrect
yoga_19,hispanic,asian,yoga,cartwheel,correct,incorrect
cartwheel_4,hispanic,indian,cartwheel,yoga,correct,incorrect
drink_7,hispanic,indian,drink,other,correct,incorrect
squat_11,hispanic,indian,squat,yoga,correct,incorrect
yoga_18,hispanic,indian,yoga,other,correct,incorrect
yoga_19,hispanic,indian,yoga,cartwheel,correct,incorrect
cartwheel_13,hispanic,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_9,hispanic,middle_eastern,cartwheel,yoga,correct,incorrect
squat_11,hispanic,middle_eastern,squat,yoga,correct,incorrect
squat_16,hispanic,middle_eastern,squat,cartwheel,correct,incorrect
cartwheel_24,hispanic,south_east_asian,cartwheel,yoga,correct,incorrect
cartwheel_4,hispanic,south_east_asian,cartwheel,yoga,correct,incorrect
drink_7,hispanic,south_east_asian,drink,yoga,correct,incorrect
squat_11,hispanic,south_east_asian,squat,cartwheel,correct,incorrect
squat_10,hispanic,white,squat,cartwheel,correct,incorrect
squat_11,hispanic,white,squat,yoga,correct,incorrect
cartwheel_20,indian,african,cartwheel,yoga,correct,incorrect
cartwheel_9,indian,african,cartwheel,yoga,correct,incorrect
squat_2,indian,african,squat,cartwheel,correct,incorrect
squat_5,indian,african,squat,cartwheel,correct,incorrect
squat_6,indian,african,squat,yoga,correct,incorrect
yoga_3,indian,african,yoga,lunge,correct,incorrect
cartwheel_9,indian,asian,cartwheel,yoga,correct,incorrect
lunge_15,indian,asian,lunge,cartwheel,correct,incorrect
squat_10,indian,asian,squat,yoga,correct,incorrect
squat_16,indian,asian,squat,cartwheel,correct,incorrect
squat_6,indian,asian,squat,yoga,correct,incorrect
squat_8,indian,asian,squat,yoga,correct,incorrect
cartwheel_16,indian,hispanic,cartwheel,yoga,correct,incorrect
squat_12,indian,hispanic,squat,yoga,correct,incorrect
squat_2,indian,hispanic,squat,yoga,correct,incorrect
squat_6,indian,hispanic,squat,yoga,correct,incorrect
yoga_3,indian,hispanic,yoga,cartwheel,correct,incorrect
cartwheel_13,indian,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_16,indian,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_9,indian,middle_eastern,cartwheel,yoga,correct,incorrect
squat_12,indian,middle_eastern,squat,yoga,correct,incorrect
squat_16,indian,middle_eastern,squat,cartwheel,correct,incorrect
squat_2,indian,middle_eastern,squat,yoga,correct,incorrect
squat_6,indian,middle_eastern,squat,yoga,correct,incorrect
cartwheel_24,indian,south_east_asian,cartwheel,yoga,correct,incorrect
yoga_3,indian,south_east_asian,yoga,cartwheel,correct,incorrect
cartwheel_16,indian,white,cartwheel,yoga,correct,incorrect
squat_10,indian,white,squat,cartwheel,correct,incorrect
squat_6,indian,white,squat,yoga,correct,incorrect
cartwheel_20,middle_eastern,african,cartwheel,yoga,correct,incorrect
cartwheel_5,middle_eastern,african,cartwheel,yoga,correct,incorrect
drink_7,middle_eastern,african,drink,other,correct,incorrect
lunge_5,middle_eastern,african,lunge,cartwheel,correct,incorrect
squat_5,middle_eastern,african,squat,cartwheel,correct,incorrect
yoga_17,middle_eastern,african,yoga,cartwheel,correct,incorrect
yoga_18,middle_eastern,african,yoga,other,correct,incorrect
yoga_19,middle_eastern,african,yoga,cartwheel,correct,incorrect
yoga_22,middle_eastern,african,yoga,cartwheel,correct,incorrect
yoga_3,middle_eastern,african,yoga,lunge,correct,incorrect
yoga_9,middle_eastern,african,yoga,lunge,correct,incorrect
cartwheel_4,middle_eastern,asian,cartwheel,yoga,correct,incorrect
drink_7,middle_eastern,asian,drink,other,correct,incorrect
lunge_15,middle_eastern,asian,lunge,cartwheel,correct,incorrect
lunge_5,middle_eastern,asian,lunge,cartwheel,correct,incorrect
squat_10,middle_eastern,asian,squat,yoga,correct,incorrect
squat_8,middle_eastern,asian,squat,yoga,correct,incorrect
yoga_17,middle_eastern,asian,yoga,cartwheel,correct,incorrect
yoga_19,middle_eastern,asian,yoga,cartwheel,correct,incorrect
yoga_9,middle_eastern,asian,yoga,lunge,correct,incorrect
cartwheel_5,middle_eastern,hispanic,cartwheel,yoga,correct,incorrect
lunge_5,middle_eastern,hispanic,lunge,cartwheel,correct,incorrect
squat_23,middle_eastern,hispanic,squat,yoga,correct,incorrect
yoga_17,middle_eastern,hispanic,yoga,cartwheel,correct,incorrect
yoga_22,middle_eastern,hispanic,yoga,other,correct,incorrect
yoga_3,middle_eastern,hispanic,yoga,cartwheel,correct,incorrect
yoga_9,middle_eastern,hispanic,yoga,cartwheel,correct,incorrect
cartwheel_4,middle_eastern,indian,cartwheel,yoga,correct,incorrect
cartwheel_5,middle_eastern,indian,cartwheel,yoga,correct,incorrect
drink_7,middle_eastern,indian,drink,other,correct,incorrect
lunge_5,middle_eastern,indian,lunge,cartwheel,correct,incorrect
squat_23,middle_eastern,indian,squat,yoga,correct,incorrect
yoga_17,middle_eastern,indian,yoga,cartwheel,correct,incorrect
yoga_18,middle_eastern,indian,yoga,other,correct,incorrect
yoga_19,middle_eastern,indian,yoga,cartwheel,correct,incorrect
yoga_22,middle_eastern,indian,yoga,other,correct,incorrect
yoga_9,middle_eastern,indian,yoga,cartwheel,correct,incorrect
cartwheel_24,middle_eastern,south_east_asian,cartwheel,yoga,correct,incorrect
cartwheel_4,middle_eastern,south_east_asian,cartwheel,yoga,correct,incorrect
drink_7,middle_eastern,south_east_asian,drink,yoga,correct,incorrect
squat_23,middle_eastern,south_east_asian,squat,yoga,correct,incorrect
yoga_17,middle_eastern,south_east_asian,yoga,other,correct,incorrect
yoga_3,middle_eastern,south_east_asian,yoga,cartwheel,correct,incorrect
yoga_9,middle_eastern,south_east_asian,yoga,lunge,correct,incorrect
cartwheel_5,middle_eastern,white,cartwheel,yoga,correct,incorrect
squat_10,middle_eastern,white,squat,cartwheel,correct,incorrect
squat_23,middle_eastern,white,squat,yoga,correct,incorrect
yoga_17,middle_eastern,white,yoga,other,correct,incorrect
yoga_9,middle_eastern,white,yoga,lunge,correct,incorrect
cartwheel_20,south_east_asian,african,cartwheel,yoga,correct,incorrect
cartwheel_5,south_east_asian,african,cartwheel,yoga,correct,incorrect
cartwheel_9,south_east_asian,african,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,african,drink,yoga,correct,incorrect
lunge_5,south_east_asian,african,lunge,cartwheel,correct,incorrect
squat_2,south_east_asian,african,squat,cartwheel,correct,incorrect
squat_21,south_east_asian,african,squat,yoga,correct,incorrect
squat_5,south_east_asian,african,squat,cartwheel,correct,incorrect
squat_6,south_east_asian,african,squat,yoga,correct,incorrect
yoga_18,south_east_asian,african,yoga,other,correct,incorrect
yoga_19,south_east_asian,african,yoga,cartwheel,correct,incorrect
yoga_22,south_east_asian,african,yoga,cartwheel,correct,incorrect
cartwheel_9,south_east_asian,asian,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,asian,drink,yoga,correct,incorrect
lunge_15,south_east_asian,asian,lunge,cartwheel,correct,incorrect
lunge_5,south_east_asian,asian,lunge,cartwheel,correct,incorrect
lunge_9,south_east_asian,asian,lunge,squat,correct,incorrect
squat_10,south_east_asian,asian,squat,yoga,correct,incorrect
squat_16,south_east_asian,asian,squat,cartwheel,correct,incorrect
squat_21,south_east_asian,asian,squat,yoga,correct,incorrect
squat_6,south_east_asian,asian,squat,yoga,correct,incorrect
squat_8,south_east_asian,asian,squat,yoga,correct,incorrect
yoga_19,south_east_asian,asian,yoga,cartwheel,correct,incorrect
cartwheel_16,south_east_asian,hispanic,cartwheel,yoga,correct,incorrect
cartwheel_5,south_east_asian,hispanic,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,hispanic,drink,yoga,correct,incorrect
lunge_5,south_east_asian,hispanic,lunge,cartwheel,correct,incorrect
lunge_9,south_east_asian,hispanic,lunge,yoga,correct,incorrect
squat_12,south_east_asian,hispanic,squat,yoga,correct,incorrect
squat_2,south_east_asian,hispanic,squat,yoga,correct,incorrect
squat_21,south_east_asian,hispanic,squat,yoga,correct,incorrect
squat_6,south_east_asian,hispanic,squat,yoga,correct,incorrect
yoga_14,south_east_asian,hispanic,yoga,squat,correct,incorrect
yoga_22,south_east_asian,hispanic,yoga,other,correct,incorrect
cartwheel_5,south_east_asian,indian,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,indian,drink,yoga,correct,incorrect
lunge_5,south_east_asian,indian,lunge,cartwheel,correct,incorrect
lunge_9,south_east_asian,indian,lunge,squat,correct,incorrect
squat_21,south_east_asian,indian,squat,yoga,correct,incorrect
yoga_14,south_east_asian,indian,yoga,squat,correct,incorrect
yoga_18,south_east_asian,indian,yoga,other,correct,incorrect
yoga_19,south_east_asian,indian,yoga,cartwheel,correct,incorrect
yoga_22,south_east_asian,indian,yoga,other,correct,incorrect
cartwheel_13,south_east_asian,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_16,south_east_asian,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_9,south_east_asian,middle_eastern,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,middle_eastern,drink,yoga,correct,incorrect
lunge_9,south_east_asian,middle_eastern,lunge,squat,correct,incorrect
squat_12,south_east_asian,middle_eastern,squat,yoga,correct,incorrect
squat_16,south_east_asian,middle_eastern,squat,cartwheel,correct,incorrect
squat_2,south_east_asian,middle_eastern,squat,yoga,correct,incorrect
squat_21,south_east_asian,middle_eastern,squat,yoga,correct,incorrect
squat_6,south_east_asian,middle_eastern,squat,yoga,correct,incorrect
yoga_14,south_east_asian,middle_eastern,yoga,squat,correct,incorrect
cartwheel_16,south_east_asian,white,cartwheel,yoga,correct,incorrect
cartwheel_5,south_east_asian,white,cartwheel,yoga,correct,incorrect
drink_22,south_east_asian,white,drink,yoga,correct,incorrect
lunge_9,south_east_asian,white,lunge,yoga,correct,incorrect
squat_10,south_east_asian,white,squat,cartwheel,correct,incorrect
squat_21,south_east_asian,white,squat,yoga,correct,incorrect
squat_6,south_east_asian,white,squat,yoga,correct,incorrect
cartwheel_20,white,african,cartwheel,yoga,correct,incorrect
cartwheel_9,white,african,cartwheel,yoga,correct,incorrect
drink_15,white,african,drink,yoga,correct,incorrect
drink_7,white,african,drink,other,correct,incorrect
lunge_5,white,african,lunge,cartwheel,correct,incorrect
squat_2,white,african,squat,cartwheel,correct,incorrect
squat_5,white,african,squat,cartwheel,correct,incorrect
yoga_11,white,african,yoga,cartwheel,correct,incorrect
yoga_18,white,african,yoga,other,correct,incorrect
yoga_19,white,african,yoga,cartwheel,correct,incorrect
yoga_21,white,african,yoga,cartwheel,correct,incorrect
yoga_22,white,african,yoga,cartwheel,correct,incorrect
yoga_3,white,african,yoga,lunge,correct,incorrect
yoga_5,white,african,yoga,cartwheel,correct,incorrect
cartwheel_4,white,asian,cartwheel,yoga,correct,incorrect
cartwheel_9,white,asian,cartwheel,yoga,correct,incorrect
drink_15,white,asian,drink,yoga,correct,incorrect
drink_7,white,asian,drink,other,correct,incorrect
lunge_15,white,asian,lunge,cartwheel,correct,incorrect
lunge_5,white,asian,lunge,cartwheel,correct,incorrect
squat_16,white,asian,squat,cartwheel,correct,incorrect
squat_8,white,asian,squat,yoga,correct,incorrect
yoga_19,white,asian,yoga,cartwheel,correct,incorrect
yoga_5,white,asian,yoga,cartwheel,correct,incorrect
drink_15,white,hispanic,drink,yoga,correct,incorrect
lunge_5,white,hispanic,lunge,cartwheel,correct,incorrect
squat_12,white,hispanic,squat,yoga,correct,incorrect
squat_2,white,hispanic,squat,yoga,correct,incorrect
yoga_11,white,hispanic,yoga,cartwheel,correct,incorrect
yoga_14,white,hispanic,yoga,squat,correct,incorrect
yoga_21,white,hispanic,yoga,cartwheel,correct,incorrect
yoga_22,white,hispanic,yoga,other,correct,incorrect
yoga_3,white,hispanic,yoga,cartwheel,correct,incorrect
yoga_5,white,hispanic,yoga,cartwheel,correct,incorrect
cartwheel_4,white,indian,cartwheel,yoga,correct,incorrect
drink_15,white,indian,drink,yoga,correct,incorrect
drink_7,white,indian,drink,other,correct,incorrect
lunge_5,white,indian,lunge,cartwheel,correct,incorrect
yoga_11,white,indian,yoga,cartwheel,correct,incorrect
yoga_14,white,indian,yoga,squat,correct,incorrect
yoga_18,white,indian,yoga,other,correct,incorrect
yoga_19,white,indian,yoga,cartwheel,correct,incorrect
yoga_21,white,indian,yoga,lunge,correct,incorrect
yoga_22,white,indian,yoga,other,correct,incorrect
yoga_5,white,indian,yoga,cartwheel,correct,incorrect
cartwheel_13,white,middle_eastern,cartwheel,yoga,correct,incorrect
cartwheel_9,white,middle_eastern,cartwheel,yoga,correct,incorrect
drink_15,white,middle_eastern,drink,yoga,correct,incorrect
squat_12,white,middle_eastern,squat,yoga,correct,incorrect
squat_16,white,middle_eastern,squat,cartwheel,correct,incorrect
squat_2,white,middle_eastern,squat,yoga,correct,incorrect
yoga_11,white,middle_eastern,yoga,cartwheel,correct,incorrect
yoga_14,white,middle_eastern,yoga,squat,correct,incorrect
yoga_21,white,middle_eastern,yoga,other,correct,incorrect
yoga_5,white,middle_eastern,yoga,cartwheel,correct,incorrect
cartwheel_24,white,south_east_asian,cartwheel,yoga,correct,incorrect
cartwheel_4,white,south_east_asian,cartwheel,yoga,correct,incorrect
drink_15,white,south_east_asian,drink,yoga,correct,incorrect
drink_7,white,south_east_asian,drink,yoga,correct,incorrect
yoga_11,white,south_east_asian,yoga,cartwheel,correct,incorrect
yoga_21,white,south_east_asian,yoga,other,correct,incorrect
yoga_3,white,south_east_asian,yoga,cartwheel,correct,incorrect
yoga_5,white,south_east_asian,yoga,squat,correct,incorrect
