video,true_label,raw_prediction,mapped_prediction,result,top5
cartwheel_4_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'bend', 'other']"
cartwheel_5_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'bend', 'jump', 'other']"
cartwheel_5_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'other']"
cartwheel_5_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'kick']"
cartwheel_5_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'kick']"
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'kick']"
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'other']"
cartwheel_5_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'kick']"
cartwheel_6_initial.mp4,cartwheel,tai chi,other,incorrect,"['other', 'kick', 'other', 'juggle', 'stretch']"
cartwheel_6_modified_african.mp4,cartwheel,tai chi,other,incorrect,"['other', 'dance', 'other', 'kick', 'juggle']"
cartwheel_6_modified_asian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'yoga', 'kick', 'stretch', 'kick']"
cartwheel_6_modified_indian.mp4,cartwheel,tai chi,other,incorrect,"['other', 'dance', 'other', 'juggle', 'kick']"
cartwheel_6_modified_middle_eastern.mp4,cartwheel,tai chi,other,incorrect,"['other', 'kick', 'yoga', 'kick', 'juggle']"
cartwheel_6_modified_south_east_asian.mp4,cartwheel,robot dancing,dance,incorrect,"['dance', 'other', 'other', 'juggle', 'kick']"
cartwheel_6_modified_white.mp4,cartwheel,tai chi,other,incorrect,"['other', 'yoga', 'kick', 'kick', 'stretch']"
cartwheel_7_initial.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'dance']"
cartwheel_7_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_7_modified_asian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'bend']"
cartwheel_7_modified_hispanic.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_7_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_7_modified_middle_eastern.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_7_modified_white.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'other', 'other', 'jump']"
cartwheel_8_initial.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'bend', 'kick']"
cartwheel_8_modified_african.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'bend', 'other']"
cartwheel_8_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'bend']"
cartwheel_8_modified_hispanic.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'bend', 'other']"
cartwheel_8_modified_indian.mp4,cartwheel,cartwheeling,cartwheel,correct,"['cartwheel', 'other', 'jump', 'other', 'bend']"
cartwheel_8_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'bend', 'other']"
cartwheel_8_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'cartwheel', 'jump', 'other', 'bend']"
cartwheel_9_initial.mp4,cartwheel,breakdancing,other,incorrect,"['other', 'other', 'kick', 'jump', 'cartwheel']"
cartwheel_9_modified_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'kick', 'jump', 'other', 'other']"
cartwheel_9_modified_hispanic.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'other', 'kick', 'jump', 'other']"
cartwheel_9_modified_indian.mp4,cartwheel,high kick,kick,incorrect,"['kick', 'other', 'other', 'jump', 'cartwheel']"
cartwheel_9_modified_middle_eastern.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'kick', 'kick', 'other', 'other']"
cartwheel_9_modified_south_east_asian.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'kick', 'jump', 'kick', 'other']"
cartwheel_9_modified_white.mp4,cartwheel,gymnastics tumbling,other,incorrect,"['other', 'kick', 'kick', 'other', 'other']"
celebrate_0_initial.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'actions with ball', 'other', 'stretch', 'arm movements']"
celebrate_0_modified_african.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'other', 'other', 'juggle', 'other']"
celebrate_0_modified_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'stretch', 'actions with ball', 'other', 'arm movements']"
celebrate_0_modified_hispanic.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'other', 'juggle', 'other', 'juggle']"
celebrate_0_modified_indian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'other', 'other', 'actions with ball', 'juggle']"
celebrate_0_modified_middle_eastern.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'stretch', 'kick', 'actions with ball', 'arm movements']"
celebrate_0_modified_south_east_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'other']"
celebrate_1_initial.mp4,celebrate,yoga,yoga,incorrect,"['yoga', 'other', 'kick', 'other', 'juggle']"
celebrate_1_modified_african.mp4,celebrate,riding unicycle,other,incorrect,"['other', 'other', 'other', 'dance', 'kick']"
celebrate_1_modified_asian.mp4,celebrate,capoeira,other,incorrect,"['other', 'kick', 'yoga', 'other', 'other']"
celebrate_1_modified_hispanic.mp4,celebrate,capoeira,other,incorrect,"['other', 'kick', 'other', 'kick', 'other']"
celebrate_1_modified_indian.mp4,celebrate,riding unicycle,other,incorrect,"['other', 'other', 'kick', 'other', 'dance']"
celebrate_1_modified_middle_eastern.mp4,celebrate,capoeira,other,incorrect,"['other', 'yoga', 'kick', 'juggle', 'other']"
celebrate_1_modified_south_east_asian.mp4,celebrate,capoeira,other,incorrect,"['other', 'other', 'kick', 'other', 'other']"
celebrate_2_initial.mp4,celebrate,tai chi,other,incorrect,"['other', 'lunge', 'juggle', 'squat', 'other']"
celebrate_2_modified_african.mp4,celebrate,snatch weight lifting,other,incorrect,"['other', 'other', 'squat', 'lunge', 'other']"
celebrate_2_modified_asian.mp4,celebrate,tai chi,other,incorrect,"['other', 'juggle', 'lunge', 'other', 'other']"
celebrate_2_modified_hispanic.mp4,celebrate,snatch weight lifting,other,incorrect,"['other', 'lunge', 'other', 'other', 'squat']"
celebrate_2_modified_indian.mp4,celebrate,snatch weight lifting,other,incorrect,"['other', 'squat', 'other', 'squat', 'other']"
celebrate_2_modified_middle_eastern.mp4,celebrate,snatch weight lifting,other,incorrect,"['other', 'lunge', 'squat', 'other', 'other']"
celebrate_2_modified_white.mp4,celebrate,snatch weight lifting,other,incorrect,"['other', 'squat', 'other', 'lunge', 'other']"
celebrate_3_initial.mp4,celebrate,capoeira,other,incorrect,"['other', 'juggle', 'kick', 'dance', 'other']"
celebrate_3_modified_african.mp4,celebrate,capoeira,other,incorrect,"['other', 'other', 'dance', 'kick', 'kick']"
celebrate_3_modified_asian.mp4,celebrate,capoeira,other,incorrect,"['other', 'play sport', 'other', 'dance', 'other']"
celebrate_3_modified_hispanic.mp4,celebrate,capoeira,other,incorrect,"['other', 'juggle', 'dance', 'other', 'other']"
celebrate_3_modified_indian.mp4,celebrate,capoeira,other,incorrect,"['other', 'other', 'other', 'cartwheel', 'kick']"
celebrate_3_modified_middle_eastern.mp4,celebrate,contact juggling,juggle,incorrect,"['juggle', 'other', 'other', 'yoga', 'kick']"
celebrate_3_modified_south_east_asian.mp4,celebrate,capoeira,other,incorrect,"['other', 'other', 'dance', 'play sport', 'other']"
celebrate_4_initial.mp4,celebrate,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'other', 'juggle', 'other']"
celebrate_4_modified_african.mp4,celebrate,breakdancing,other,incorrect,"['other', 'dance', 'other', 'other', 'other']"
celebrate_4_modified_asian.mp4,celebrate,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'other', 'other']"
celebrate_4_modified_hispanic.mp4,celebrate,capoeira,other,incorrect,"['other', 'other', 'dance', 'kick', 'kick']"
celebrate_4_modified_indian.mp4,celebrate,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'other', 'other', 'other']"
celebrate_4_modified_south_east_asian.mp4,celebrate,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'other', 'other', 'kick']"
celebrate_4_modified_white.mp4,celebrate,contact juggling,juggle,incorrect,"['juggle', 'other', 'juggle', 'dance', 'other']"
celebrate_5_initial.mp4,celebrate,jumpstyle dancing,dance,incorrect,"['dance', 'other', 'juggle', 'other', 'other']"
celebrate_5_modified_african.mp4,celebrate,breakdancing,other,incorrect,"['other', 'dance', 'juggle', 'other', 'other']"
celebrate_5_modified_asian.mp4,celebrate,breakdancing,other,incorrect,"['other', 'dance', 'juggle', 'other', 'other']"
celebrate_5_modified_hispanic.mp4,celebrate,breakdancing,other,incorrect,"['other', 'dance', 'other', 'juggle', 'other']"
celebrate_5_modified_middle_eastern.mp4,celebrate,breakdancing,other,incorrect,"['other', 'other', 'dance', 'juggle', 'kick']"
celebrate_5_modified_south_east_asian.mp4,celebrate,breakdancing,other,incorrect,"['other', 'dance', 'other', 'juggle', 'other']"
celebrate_5_modified_white.mp4,celebrate,breakdancing,other,incorrect,"['other', 'juggle', 'other', 'dance', 'kick']"
celebrate_6_initial.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'stretch', 'juggle', 'yoga']"
celebrate_6_modified_african.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'other', 'juggle']"
celebrate_6_modified_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'stretch', 'yoga']"
celebrate_6_modified_indian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'other', 'yoga']"
celebrate_6_modified_middle_eastern.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'stretch', 'yoga']"
celebrate_6_modified_south_east_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'other', 'yoga']"
celebrate_6_modified_white.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'stretch', 'yoga']"
celebrate_7_initial.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'lunge', 'juggle', 'stretch']"
celebrate_7_modified_african.mp4,celebrate,lunge,lunge,incorrect,"['lunge', 'stretch', 'stretch', 'yoga', 'juggle']"
celebrate_7_modified_asian.mp4,celebrate,contact juggling,juggle,incorrect,"['juggle', 'lunge', 'stretch', 'yoga', 'stretch']"
celebrate_7_modified_hispanic.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'juggle', 'lunge', 'stretch']"
celebrate_7_modified_indian.mp4,celebrate,lunge,lunge,incorrect,"['lunge', 'stretch', 'juggle', 'yoga', 'stretch']"
celebrate_7_modified_middle_eastern.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'lunge', 'stretch', 'other']"
celebrate_7_modified_white.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'other', 'lunge', 'stretch']"
celebrate_8_initial.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'stretch', 'kick', 'other', 'juggle']"
celebrate_8_modified_african.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'juggle', 'actions with ball']"
celebrate_8_modified_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'other', 'juggle', 'juggle', 'other']"
celebrate_8_modified_hispanic.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'juggle', 'other']"
celebrate_8_modified_indian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'juggle', 'other']"
celebrate_8_modified_middle_eastern.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'juggle', 'other', 'other']"
celebrate_8_modified_south_east_asian.mp4,celebrate,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'juggle', 'other']"
celebrate_9_initial.mp4,celebrate,yoga,yoga,incorrect,"['yoga', 'stretch', 'stretch', 'lunge', 'other']"
celebrate_9_modified_asian.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'other', 'lunge']"
celebrate_9_modified_hispanic.mp4,celebrate,yoga,yoga,incorrect,"['yoga', 'stretch', 'stretch', 'other', 'lunge']"
celebrate_9_modified_indian.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'lunge', 'other']"
celebrate_9_modified_middle_eastern.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'other', 'lunge']"
celebrate_9_modified_south_east_asian.mp4,celebrate,yoga,yoga,incorrect,"['yoga', 'stretch', 'stretch', 'lunge', 'other']"
celebrate_9_modified_white.mp4,celebrate,stretching leg,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'other', 'lunge']"
clap_0_initial.mp4,clap,yoga,yoga,incorrect,"['yoga', 'kick', 'stretch', 'juggle', 'stretch']"
clap_0_modified_african.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'other', 'other', 'other', 'dance']"
clap_0_modified_asian.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'other', 'dance', 'yoga', 'dance']"
clap_0_modified_hispanic.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'yoga', 'dance', 'stretch', 'kick']"
clap_0_modified_indian.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'other', 'dance', 'juggle', 'other']"
clap_0_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect,"['yoga', 'juggle', 'kick', 'stretch', 'dance']"
clap_0_modified_south_east_asian.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'yoga', 'dance', 'stretch', 'kick']"
clap_1_initial.mp4,clap,cartwheeling,cartwheel,incorrect,"['cartwheel', 'yoga', 'other', 'juggle', 'kick']"
clap_1_modified_african.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'juggle', 'other', 'dance', 'kick']"
clap_1_modified_asian.mp4,clap,yoga,yoga,incorrect,"['yoga', 'juggle', 'other', 'kick', 'other']"
clap_1_modified_hispanic.mp4,clap,high kick,kick,incorrect,"['kick', 'cartwheel', 'yoga', 'other', 'other']"
clap_1_modified_indian.mp4,clap,yoga,yoga,incorrect,"['yoga', 'kick', 'other', 'stretch', 'stretch']"
clap_1_modified_middle_eastern.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'yoga', 'other', 'other', 'cartwheel']"
clap_1_modified_south_east_asian.mp4,clap,cartwheeling,cartwheel,incorrect,"['cartwheel', 'yoga', 'juggle', 'kick', 'other']"
clap_2_initial.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
clap_2_modified_african.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'yoga', 'other', 'stretch', 'other']"
clap_2_modified_asian.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']"
clap_2_modified_hispanic.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'other', 'other', 'other', 'yoga']"
clap_2_modified_indian.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'other', 'yoga', 'stretch', 'other']"
clap_2_modified_middle_eastern.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'yoga', 'stretch', 'other', 'stretch']"
clap_2_modified_white.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'yoga', 'stretch', 'other', 'other']"
clap_3_initial.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'juggle', 'other', 'other']"
clap_3_modified_african.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'yoga']"
clap_3_modified_asian.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'juggle']"
clap_3_modified_hispanic.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
clap_3_modified_indian.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'yoga', 'other']"
clap_3_modified_middle_eastern.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'juggle', 'other', 'other']"
clap_3_modified_south_east_asian.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'other', 'other']"
clap_4_initial.mp4,clap,tai chi,other,incorrect,"['other', 'juggle', 'dance', 'other', 'other']"
clap_4_modified_african.mp4,clap,riding unicycle,other,incorrect,"['other', 'other', 'other', 'other', 'juggle']"
clap_4_modified_asian.mp4,clap,riding unicycle,other,incorrect,"['other', 'other', 'other', 'other', 'dance']"
clap_4_modified_hispanic.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'juggle', 'dance', 'other']"
clap_4_modified_indian.mp4,clap,riding unicycle,other,incorrect,"['other', 'other', 'other', 'other', 'juggle']"
clap_4_modified_south_east_asian.mp4,clap,riding unicycle,other,incorrect,"['other', 'other', 'other', 'juggle', 'dance']"
clap_4_modified_white.mp4,clap,tai chi,other,incorrect,"['other', 'juggle', 'dance', 'other', 'other']"
clap_5_initial.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'stretch', 'juggle']"
clap_5_modified_african.mp4,clap,robot dancing,dance,incorrect,"['dance', 'juggle', 'other', 'juggle', 'dance']"
clap_5_modified_asian.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'stretch', 'juggle']"
clap_5_modified_hispanic.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'stretch', 'juggle']"
clap_5_modified_middle_eastern.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'stretch', 'kick']"
clap_5_modified_south_east_asian.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'stretch', 'kick']"
clap_5_modified_white.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'stretch', 'kick']"
clap_6_initial.mp4,clap,stretching arm,stretch,incorrect,"['stretch', 'yoga', 'juggle', 'dance', 'stretch']"
clap_6_modified_african.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'juggle', 'other', 'dance', 'other']"
clap_6_modified_asian.mp4,clap,stretching arm,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'bend', 'other']"
clap_6_modified_indian.mp4,clap,contact juggling,juggle,incorrect,"['juggle', 'juggle', 'dance', 'stretch', 'other']"
clap_6_modified_middle_eastern.mp4,clap,stretching arm,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'juggle', 'kick']"
clap_6_modified_south_east_asian.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'juggle', 'dance', 'stretch', 'other']"
clap_6_modified_white.mp4,clap,stretching arm,stretch,incorrect,"['stretch', 'yoga', 'stretch', 'bend', 'arm movements']"
clap_7_initial.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'other', 'other', 'other', 'yoga']"
clap_7_modified_african.mp4,clap,tai chi,other,incorrect,"['other', 'stretch', 'yoga', 'lunge', 'stretch']"
clap_7_modified_asian.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'stretch', 'kick']"
clap_7_modified_hispanic.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'stretch', 'yoga', 'stretch']"
clap_7_modified_indian.mp4,clap,tai chi,other,incorrect,"['other', 'stretch', 'yoga', 'stretch', 'other']"
clap_7_modified_middle_eastern.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'yoga', 'stretch', 'other', 'other']"
clap_7_modified_white.mp4,clap,playing didgeridoo,other,incorrect,"['other', 'yoga', 'stretch', 'other', 'other']"
clap_8_initial.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'other', 'juggle', 'juggle']"
clap_8_modified_african.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'stretch', 'juggle']"
clap_8_modified_asian.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'other', 'other', 'kick']"
clap_8_modified_hispanic.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'juggle', 'stretch', 'stretch']"
clap_8_modified_indian.mp4,clap,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'stretch', 'juggle']"
clap_8_modified_middle_eastern.mp4,clap,tai chi,other,incorrect,"['other', 'other', 'yoga', 'other', 'juggle']"
clap_8_modified_south_east_asian.mp4,clap,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'juggle', 'other']"
clap_9_initial.mp4,clap,riding unicycle,other,incorrect,"['other', 'juggle', 'other', 'clean something', 'other']"
clap_9_modified_asian.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'clean something', 'other', 'other']"
clap_9_modified_hispanic.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'other', 'clean something', 'other']"
clap_9_modified_indian.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'clean something', 'other', 'other']"
clap_9_modified_middle_eastern.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'other', 'clean something', 'other']"
clap_9_modified_south_east_asian.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'clean something', 'other', 'other']"
clap_9_modified_white.mp4,clap,juggling balls,juggle,incorrect,"['juggle', 'other', 'other', 'other', 'clean something']"
cry_0_initial.mp4,cry,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'other', 'kick']"
cry_0_modified_african.mp4,cry,tai chi,other,incorrect,"['other', 'other', 'other', 'kick', 'stretch']"
cry_0_modified_asian.mp4,cry,tai chi,other,incorrect,"['other', 'other', 'yoga', 'stretch', 'other']"
cry_0_modified_hispanic.mp4,cry,yoga,yoga,incorrect,"['yoga', 'stretch', 'other', 'lunge', 'other']"
cry_0_modified_indian.mp4,cry,tai chi,other,incorrect,"['other', 'yoga', 'other', 'stretch', 'kick']"
cry_0_modified_middle_eastern.mp4,cry,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'other', 'kick']"
cry_0_modified_south_east_asian.mp4,cry,tai chi,other,incorrect,"['other', 'other', 'yoga', 'stretch', 'kick']"
cry_1_initial.mp4,cry,yoga,yoga,incorrect,"['yoga', 'other', 'stretch', 'other', 'kick']"
cry_1_modified_african.mp4,cry,tai chi,other,incorrect,"['other', 'yoga', 'stretch', 'dance', 'kick']"
